Question,Question Type,Sub Category,Category
What is the meaning of term “Cinder” in OpenStack service?,TECHNICAL,OPENSTACK,Clouds
List out the storage locations for VM images in OpenStack?,TECHNICAL,OPENSTACK,Clouds
Explain what is Cells in OpenStack?,TECHNICAL,OPENSTACK,Clouds
For networking what hardware is used in OpenStack? ,TECHNICAL,OPENSTACK,Clouds
Explain how you can transfer volume from one owner to another in OpenStack?,TECHNICAL,OPENSTACK,Clouds
What is bare-metal node and what does it comprised of?,TECHNICAL,OPENSTACK,Clouds
Mention what is the command to remove network interface from bare-metal node?,TECHNICAL,OPENSTACK,Clouds
Explain what is the function of Cinder Scheduler?,TECHNICAL,OPENSTACK,Clouds
Explain what is Token in OpenStack?,TECHNICAL,OPENSTACK,Clouds
Explain about OpenStack Python SDK?,TECHNICAL,OPENSTACK,Clouds
What is the command used for pause and unpause an instance?,TECHNICAL,OPENSTACK,Clouds
What is the command used to list IP address information?,TECHNICAL,OPENSTACK,Clouds
What is the meaning of term “flavor” in OpenStack? ,TECHNICAL,OPENSTACK,Clouds
<get name="USERNAME"></get> What is Artificial Intelligence?,TECHNICAL,AI,Advance
How AI is been utilized in your daily life?,TECHNICAL,AI,Advance
List some applications of AI.,TECHNICAL,AI,Advance
What is Turing test?,TECHNICAL,AI,Advance
<get name="USERNAME"></get> What is Deep learning?,TECHNICAL,AI,Advance
can you differentiate between supervised unsupervised and reinforcement learning.,TECHNICAL,AI,Advance
Name few Machine Learning algorithms you know.,TECHNICAL,AI,Advance
<get name="USERNAME"></get> Tell me any project you have done in AI.,TECHNICAL,AI,Advance
What are the advantages of using cloud computing?,TECHNICAL,CLOUD,Advance
Mention platforms which are used for large scale cloud computing?,TECHNICAL,CLOUD,Advance
Explain different models for deployment in cloud computing?,TECHNICAL,CLOUD,Advance
What is the difference in cloud computing and computing for mobiles?,TECHNICAL,CLOUD,Advance
For a transport in cloud how you can secure your data?,TECHNICAL,CLOUD,Advance
Mention some open source cloud computing platform databases?,TECHNICAL,CLOUD,Advance
Explain the difference between cloud and traditional datacenters?,TECHNICAL,CLOUD,Advance
Explain what are the different modes of software as a service,TECHNICAL,CLOUD,Advance
How important is the platform as a service?,TECHNICAL,CLOUD,Advance
What is a cloud service?,TECHNICAL,CLOUD,Advance
As a infrastructure as a service what are the resources that are provided by it?,TECHNICAL,CLOUD,Advance
What are the business benefits involved in cloud architecture?,TECHNICAL,CLOUD,Advance
Mention what is the difference between elasticity and scalability in cloud computing?,TECHNICAL,CLOUD,Advance
Explain hybrid and community cloud?,TECHNICAL,CLOUD,Advance
Have you used Amazon AWS?,TECHNICAL,CLOUD,Advance
How GOOGLE CLOUD ENGINE is different from Amazon AWS?,TECHNICAL,CLOUD,Advance
What do you know about the term Big Data?,TECHNICAL,BIGDATA,Advance
What are the five V’s of Big Data?,TECHNICAL,BIGDATA,Advance
Tell us how big data and Hadoop are related to each other.,TECHNICAL,BIGDATA,Advance
How is big data analysis helpful in increasing business revenue?,TECHNICAL,BIGDATA,Advance
Explain the steps to be followed to deploy a Big Data solution.,TECHNICAL,BIGDATA,Advance
Define respective components of HDFS and YARN,TECHNICAL,BIGDATA,Advance
Why is Hadoop used for Big Data Analytics?,TECHNICAL,BIGDATA,Advance
What are the main differences between NAS (Network-attached storage) and HDFS?,TECHNICAL,BIGDATA,Advance
 Which technique is used to predict categorical responses?,TECHNICAL,DA,Advance
What is logistic regression? Or State an example when you have used logistic regression recently.,TECHNICAL,DA,Advance
What are Recommender Systems?,TECHNICAL,DA,Advance
Why data cleaning plays a vital role in analysis?,TECHNICAL,DA,Advance
Differentiate between univariate bivariate and multivariate analysis,TECHNICAL,DA,Advance
 What do you understand by the term Normal Distribution?,TECHNICAL,DA,Advance
 What is Linear Regression?,TECHNICAL,DA,Advance
What is K-means? How can you select K for K-means?,TECHNICAL,DA,Advance
Are expected value and mean value different?,TECHNICAL,DA,Advance
What is the goal of A/B Testing?,TECHNICAL,DA,Advance
What is Virtual Reality?,TECHNICAL,VR,Advance
How do you develop an application using VR?,TECHNICAL,VR,Advance
How VR is different than AR?,TECHNICAL,VR,Advance
Can you name few companies which are working on product related to VR?,TECHNICAL,VR,Advance
What are the applications of VR in healthcare?,TECHNICAL,VR,Advance
What are the applications of VR in education?,TECHNICAL,VR,Advance
What Are The Major Trends Driving The Introduction Of Virtual Reality Systems?,TECHNICAL,VR,Advance
What Is Google Cardboard And How Does It Fit Into The Vr World?,TECHNICAL,VR,Advance
How HOLOLENS is different than other VR devices?,TECHNICAL,VR,Advance
How Might The Virtual World Change The World Of Work?,TECHNICAL,VR,Advance
Explain Named entity recognition (NER)?,TECHNICAL,NLP,Advance
What is Lemmatization in NLP?,TECHNICAL,NLP,Advance
List some Components of NLP?,TECHNICAL,NLP,Advance
List some OpenSource Libraries for NLP?,TECHNICAL,NLP,Advance
What is latent semantic indexing? Where it is applied.,TECHNICAL,NLP,Advance
List some areas of NLP?,TECHNICAL,NLP,Advance
List some tools for training NLP models?,TECHNICAL,NLP,Advance
What is NLTK?,TECHNICAL,NLP,Advance
What is tokenization in NLP?,TECHNICAL,NLP,Advance
What is stemming in NLP?,TECHNICAL,NLP,Advance
What is part of speech (POS) tagging?,TECHNICAL,NLP,Advance
List few differences between AI Machine Learning and NLP?,TECHNICAL,NLP,Advance
What is the significance of TF-IDF?,TECHNICAL,NLP,Advance
What is blockchain,TECHNICAL,BLOCKCHAIN,Advance
Is blockchain and bitcoin one and the same thing.,TECHNICAL,BLOCKCHAIN,Advance
How blockchain can bring revolution,TECHNICAL,BLOCKCHAIN,Advance
Any projects or ideas you have implemented based on blockchain.,TECHNICAL,BLOCKCHAIN,Advance
 What do you know about Blockchain? What is the difference between Bitcoin blockchain and Ethereum blockchain?,TECHNICAL,BLOCKCHAIN,Advance
 What is the principle on which blockchain technology is based on?,TECHNICAL,BLOCKCHAIN,Advance
 What are the different types of Blockchains?,TECHNICAL,BLOCKCHAIN,Advance
 Why is Blockchain a trusted approach?,TECHNICAL,BLOCKCHAIN,Advance
 Name the two types of records that are present in the blockchain database?,TECHNICAL,BLOCKCHAIN,Advance
 What are the properties of Blockchain?,TECHNICAL,BLOCKCHAIN,Advance
 What is encryption? What is its role in Blockchain?,TECHNICAL,BLOCKCHAIN,Advance
 What do you mean by blocks in the blockchain technology?,TECHNICAL,BLOCKCHAIN,Advance
 How does a block is recognized in the Blockchain approach?,TECHNICAL,BLOCKCHAIN,Advance
 Is it possible to modify the data once it is written in a block?,TECHNICAL,BLOCKCHAIN,Advance
 What are Block Identifiers?,TECHNICAL,BLOCKCHAIN,Advance
 Is it possible in Blockchain to remove one or more block from the networks?,TECHNICAL,BLOCKCHAIN,Advance
 What exactly do you know about the security of a block?,TECHNICAL,BLOCKCHAIN,Advance
 What are Merkle trees? How important are Merkle trees in Blockchains?,TECHNICAL,BLOCKCHAIN,Advance
 What is a ledger? Is Blockchain an incorruptible ledger?,TECHNICAL,BLOCKCHAIN,Advance
 Name the common type of ledgers that can be considered by users in Blockchain?,TECHNICAL,BLOCKCHAIN,Advance
 How is a blockchain ledger different from an ordinary one?,TECHNICAL,BLOCKCHAIN,Advance
 What type of records can be kept in a Blockchain? Is there any restriction on same?,TECHNICAL,BLOCKCHAIN,Advance
 A distributed digital ledger is used for recording transaction in Blockchain,TECHNICAL,BLOCKCHAIN,Advance
 Can You explain the components of Blockchain Ecosystem?,TECHNICAL,BLOCKCHAIN,Advance
 State difference between proof-of-work and proof-of-stake?,TECHNICAL,BLOCKCHAIN,Advance
 Name some popular platforms for developing blockchain applications,TECHNICAL,BLOCKCHAIN,Advance
 What is Double Spending? Is it possible to double spend in a Blockchain system?,TECHNICAL,BLOCKCHAIN,Advance
 What are the benefits of Blockchain that you know?,TECHNICAL,BLOCKCHAIN,Advance
 Each block of a Blockchain consists of which of the following?,TECHNICAL,BLOCKCHAIN,Advance
 Which of the following is first distributed blockchain implementation?,TECHNICAL,BLOCKCHAIN,Advance
 Bitcoin is based on which blockchain?,TECHNICAL,BLOCKCHAIN,Advance
 Hash identifying each block in the Blockchain is generated using which of the following cryptographic algorithm?,TECHNICAL,BLOCKCHAIN,Advance
 A block in the blockchain can never have more than one parent block?,TECHNICAL,BLOCKCHAIN,Advance
 Blockchain forks can result in which of the following?,TECHNICAL,BLOCKCHAIN,Advance
 Which of the following is asymmetric encryption Algorithm?,TECHNICAL,BLOCKCHAIN,Advance
 Can you tell me some of the widely used cryptographic algorithms?,TECHNICAL,BLOCKCHAIN,Advance
 Tell me more about RSA algorithm? How secure is this algorithm?,TECHNICAL,BLOCKCHAIN,Advance
 Explain the significance of blind signature and how it is useful?,TECHNICAL,BLOCKCHAIN,Advance
 What is Secret Sharing? Does it have any benefit in Blockchain technology?,TECHNICAL,BLOCKCHAIN,Advance
 Can you explain what are off-chain transactions?,TECHNICAL,BLOCKCHAIN,Advance
 What exactly do you know about executive accounting? Does Blockchain support the same?,TECHNICAL,BLOCKCHAIN,Advance
 What are the threats to the information you are familiar with?,TECHNICAL,BLOCKCHAIN,Advance
 How will you handle the risk management when it comes to securing the transactions records?,TECHNICAL,BLOCKCHAIN,Advance
 What is 51% attack? ,TECHNICAL,BLOCKCHAIN,Advance
 What challenges information leak can impose on an organization?,TECHNICAL,BLOCKCHAIN,Advance
 What is information processing according to you? What are the key challenges that are associated with it?,TECHNICAL,BLOCKCHAIN,Advance
 Name organizations that can use Blockchain technology?,TECHNICAL,BLOCKCHAIN,Advance
 What are the core requirements for a Business Blockchain?,TECHNICAL,BLOCKCHAIN,Advance
 What are the key principles in Blockchain that are helpful in eliminating the security threats that needs to be followed?,TECHNICAL,BLOCKCHAIN,Advance
 What is a security policy?,TECHNICAL,BLOCKCHAIN,Advance
  Is the Blockchain Different from Banking Ledgers?,TECHNICAL,BLOCKCHAIN,Advance
  Can you list some of the popular consensus algorithms? Why we need different consensus mechanisms?<br/>
,TECHNICAL,BLOCKCHAIN,Advance
 Is there any network specific conditions for using Blockchain technology in an organization?,TECHNICAL,BLOCKCHAIN,Advance
 Name the steps that are involved in the Blockchain project implementation?,TECHNICAL,BLOCKCHAIN,Advance
 Explain a real-life use-case where Blockchain is being used?,TECHNICAL,BLOCKCHAIN,Advance
What is deep learning?,TECHNICAL,DL,Advance
What is a Neural Network,TECHNICAL,DL,Advance
How deep learning is different than machine learning,TECHNICAL,DL,Advance
What projects you have done in DEEP LEARNING?,TECHNICAL,DL,Advance
Do you know how to take neural network in production,TECHNICAL,DL,Advance
Which Deep Learning Libraries you have USED,TECHNICAL,DL,Advance
What is the cost function?,TECHNICAL,DL,Advance
What is mean by gradient descent?,TECHNICAL,DL,Advance
 What is meant by a backpropagation?,TECHNICAL,DL,Advance
What is means by auto-encoder?,TECHNICAL,DL,Advance
What are the roles of activation function?,TECHNICAL,DL,Advance
What is Machine Learning?,TECHNICAL,ML,Advance
Why is naive Bayes so naive ?,TECHNICAL,ML,Advance
How AI is different from Machine Learning?,TECHNICAL,ML,Advance
Do you know any company which have a product based on Machine Learning,TECHNICAL,ML,Advance
How to handle unbalanced databases?,TECHNICAL,ML,Advance
Is It the Most Important For You Model Model Accuracy or Model Performance?,TECHNICAL,ML,Advance
What is the forward selection of data pre-processing?,TECHNICAL,ML,Advance
What are the different Algorithm techniques in Machine Learning?,TECHNICAL,ML,Advance
Difference between supervised and unsupervised machine learning?,TECHNICAL,ML,Advance
What is Overfitting in Machine Learning?,TECHNICAL,ML,Advance
What are the advantages of decision trees?,TECHNICAL,ML,Advance
What are the three stages to build the hypotheses or model in machine learning?,TECHNICAL,ML,Advance
What are some different cases uses of machine learning algorithms can be used?,TECHNICAL,ML,Advance
What is computer vision,TECHNICAL,CV,Advance
Is Computer vision or pattern recognition or image processing is all same thing.,TECHNICAL,CV,Advance
Any projects related to computer vision?,TECHNICAL,CV,Advance
What are the main parts of IoT systems?,TECHNICAL,IOT,Advance
What is Internet of things?,TECHNICAL,IOT,Advance
Have you done anything or any project related to IOT?,TECHNICAL,IOT,Advance
Can you name few companies who are working IOT based products?,TECHNICAL,IOT,Advance
How IOT is changing or revolutionizing our world?,TECHNICAL,IOT,Advance
What are security concerns related to IoT?,TECHNICAL,IOT,Advance
What is meant by a smart city regarding the Internet of Things?,TECHNICAL,IOT,Advance
Name some of the sectors where IOT played a major role?,TECHNICAL,IOT,Advance
What are the challenges in IOT?,TECHNICAL,IOT,Advance
Can IOT take over human mind?,TECHNICAL,IOT,Advance
What is the scope of IOT devices in the future?,TECHNICAL,IOT,Advance
What is the big IOT implementation so far?,TECHNICAL,IOT,Advance
What are Android things?,TECHNICAL,IOT,Advance
What are the most used sensors types in iot?,TECHNICAL,IOT,Advance
What is common uses of IoT?,TECHNICAL,IOT,Advance
What is application of IoT in Environmental Monitoring?,TECHNICAL,IOT,Advance
What is application of IoT in Transportation?,TECHNICAL,IOT,Advance
What is application of IoT in Government?,TECHNICAL,IOT,Advance
What is application of IoT in Law enforcement?,TECHNICAL,IOT,Advance
What is IoT Cloud?,TECHNICAL,IOT,Advance
How does the Internet of Everything relate to the Internet of Things?,TECHNICAL,IOT,Advance
What is the difference between the Internet of Things (IoT) and the Sensors?,TECHNICAL,IOT,Advance
Why Internet of Things will be successful in the coming years?,TECHNICAL,IOT,Advance
What are the important Components of Internet of Things?,TECHNICAL,IOT,Advance
What impacts will the Internet of Things (IoT) have on Energy Sector?,TECHNICAL,IOT,Advance
What impacts will the Internet of Things (IoT) have on Agriculture Sector?,TECHNICAL,IOT,Advance
What is application of IoT in Healthcare?,TECHNICAL,IOT,Advance
How will the Internet of Things affect the manageability of the business and will it have any effect on the earth?,TECHNICAL,IOT,Advance
What kind of data does Internet of Things objects convey?,TECHNICAL,IOT,Advance
Why will the Internet of Things be effective in the coming years?,TECHNICAL,IOT,Advance
 What is the effect of the Internet of Things have on Healthcare segment?,TECHNICAL,IOT,Advance
 what are the fundamental difficulties of the Internet of Things usage?,TECHNICAL,IOT,Advance
When you state Internet of Things I am not catching your meaning by the thing?,TECHNICAL,IOT,Advance
What is Agile Methology?,TECHNICAL,AGILE,Technical
What is the duration of a scrum sprint?,TECHNICAL,AGILE,Technical
What do you know about impediments in Scrum? Give some examples of impediments.,TECHNICAL,AGILE,Technical
What is the difference and similarity between Agile and Scrum?,TECHNICAL,AGILE,Technical
State some of the Agile quality strategies.,TECHNICAL,AGILE,Technical
Do you know about Agile Manifesto and its Principles? Explain in brief.,TECHNICAL,AGILE,Technical
Is there any drawback of the Agile model? If yes explain.,TECHNICAL,AGILE,Technical
What do you understand by the term Agile testing?,TECHNICAL,AGILE,Technical
State some major principles of Agile testing.,TECHNICAL,AGILE,Technical
Scrum is an Agile framework right? Name a few other Agile frameworks.,TECHNICAL,AGILE,Technical
Name some methodologies and development where you have used the Agile model.,TECHNICAL,AGILE,Technical
What is the difference between the agile and traditional way of working?,TECHNICAL,AGILE,Technical
How is an agile testing methodology different from other testing methodologies?,TECHNICAL,AGILE,Technical
 What is Ubuntu and how does it work? ,TECHNICAL,UBUNTU,OS
 What is the latest version of Ubuntu? ,TECHNICAL,UBUNTU,OS
 Why is it called Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do I install Ubuntu on my PC? ,TECHNICAL,UBUNTU,OS
 Which is the best version of Ubuntu? ,TECHNICAL,UBUNTU,OS
 What are the Minimum System Requirements to install Ubuntu? ,TECHNICAL,UBUNTU,OS
 Explain the difference between Windows and Ubuntu? ,TECHNICAL,UBUNTU,OS
 What are some New features in Ubuntu 17.10? ,TECHNICAL,UBUNTU,OS
 How do I check my current version of Ubuntu? ,TECHNICAL,UBUNTU,OS
 What are the basic commands in Ubuntu? ,TECHNICAL,UBUNTU,OS
 What is the Ubuntu terminal? ,TECHNICAL,UBUNTU,OS
 How do I create a service in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How to start services in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do I get to root in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How to open a file in Ubuntu terminal? ,TECHNICAL,UBUNTU,OS
 How do you create a new file in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do I get help in Ubuntu terminal? ,TECHNICAL,UBUNTU,OS
 What is sudo command in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do you go to a directory in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How to use mkdir command in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do I reboot Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do you create an empty file in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do I free up disk space on Ubuntu? ,TECHNICAL,UBUNTU,OS
 What is chmod command Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do I change the root password in Ubuntu terminal? ,TECHNICAL,UBUNTU,OS
 How do I delete a user account in Ubuntu? ,TECHNICAL,UBUNTU,OS
 How do I change the user in Ubuntu? ,TECHNICAL,UBUNTU,OS
 What is the difference between Linux and Windows? ,TECHNICAL,WINDOWS,OS
 What are the five main functions of an operating system? ,TECHNICAL,WINDOWS,OS
 Why do we need windows on the computer? ,TECHNICAL,WINDOWS,OS
 What is the difference between window and windows? ,TECHNICAL,WINDOWS,OS
 What are the types of Windows operating system? ,TECHNICAL,WINDOWS,OS
 What is a Windows server used for? ,TECHNICAL,WINDOWS,OS
 Explain the difference between thread  and process in an operating system? ,TECHNICAL,WINDOWS,OS
 How can I see all IP addresses on my network using CMD? ,TECHNICAL,WINDOWS,OS
 What is Active Directory and how does it work? ,TECHNICAL,WINDOWS,OS
 What is meant by 32bit and 64bit operating system? ,TECHNICAL,WINDOWS,OS
 Which is better Windows 7 or Windows XP? ,TECHNICAL,WINDOWS,OS
 What is the difference between Windows 7 and Windows 10? ,TECHNICAL,WINDOWS,OS
What is the description for Kernel?,TECHNICAL,UNIX,Core
What are the main features of UNIX?,TECHNICAL,UNIX,Core
What is called Shell?,TECHNICAL,UNIX,Core
What are the responsibilities of a shell?,TECHNICAL,UNIX,Core
Describe the term directory in UNIX?,TECHNICAL,UNIX,Core
Describe fork() system call?,TECHNICAL,UNIX,Core
What is meant by Super User in unix?,TECHNICAL,UNIX,Core
What are the different file types available with UNIX?,TECHNICAL,UNIX,Core
Discuss the difference between swapping and paging?,TECHNICAL,UNIX,Core
What do you understand by UNIX shell?,TECHNICAL,UNIX,Core
What do you understand by shell variables?,TECHNICAL,UNIX,Core
Define piping in unix,TECHNICAL,UNIX,Core
What do you understand by terms system calls and library functions with respect to UNIX command?,TECHNICAL,UNIX,Core
Explain pid in unix systems.,TECHNICAL,UNIX,Core
 What is chmod command?,TECHNICAL,UNIX,Core
Differentiate Swapping and Paging.,TECHNICAL,UNIX,Core
What is data structure?,TECHNICAL,DS,Core
 Differentiate between file and structure storage structure.,TECHNICAL,DS,Core
When is a binary search best applied?,TECHNICAL,DS,Core
What is a linked list?,TECHNICAL,DS,Core
In what areas do data structures are applied?,TECHNICAL,DS,Core
What is a queue?,TECHNICAL,DS,Core
What are binary trees?,TECHNICAL,DS,Core
Which data structures are applied when dealing with a recursive function?,TECHNICAL,DS,Core
What is a stack?,TECHNICAL,DS,Core
Explain Binary Search Tree,TECHNICAL,DS,Core
Are linked lists considered linear or non-linear data structures?,TECHNICAL,DS,Core
What is merge sort?,TECHNICAL,DS,Core
What is the primary advantage of a linked list?,TECHNICAL,DS,Core
What is a linear search?,TECHNICAL,DS,Core
What is a postfix expression?,TECHNICAL,DS,Core
How do signed and unsigned numbers affect memory?,TECHNICAL,DS,Core
 What are dynamic data structures?,TECHNICAL,DS,Core
In what data structures are pointers applied?,TECHNICAL,DS,Core
What are ARRAYs?,TECHNICAL,DS,Core
What is the minimum number of queues needed when implementing a priority queue?,TECHNICAL,DS,Core
Which sorting algorithm is considered the fastest?,TECHNICAL,DS,Core
Differentiate STACK from ARRAY.,TECHNICAL,DS,Core
What is a bubble sort and how do you perform it?,TECHNICAL,DS,Core
What is an AVL tree?,TECHNICAL,DS,Core
What is Fibonacci search?,TECHNICAL,DS,Core
Briefly explain recursive algorithm.,TECHNICAL,DS,Core
Differentiate between file and structure storage structure.,TECHNICAL,DS,Core
How do you reference all the elements in a one-dimension array?,TECHNICAL,DS,Core
In what areas do data structures are applied?,TECHNICAL,DS,Core
What is LIFO?,TECHNICAL,DS,Core
What are multidimensional arrays?,TECHNICAL,DS,Core
How does dynamic memory allocation help in managing data?,TECHNICAL,DS,Core
What is FIFO?,TECHNICAL,DS,Core
What is an ordered list?,TECHNICAL,DS,Core
Differentiate NULL and VOID,TECHNICAL,DS,Core
What is the difference between a PUSH and a POP?,TECHNICAL,DS,Core
How does variable declaration affect memory allocation?,TECHNICAL,DS,Core
What is the advantage of the heap over a stack?,TECHNICAL,DS,Core
What is Data abstraction?,TECHNICAL,DS,Core
How do you insert a new item in a binary search tree?,TECHNICAL,DS,Core
How does a selection sort work for an array?,TECHNICAL,DS,Core
What is the minimum number of nodes that a binary tree can have?,TECHNICAL,DS,Core
What are dynamic data structures?,TECHNICAL,DS,Core
Do all declaration statements result in a fixed reservation in memory?,TECHNICAL,DS,Core
Give a basic algorithm for searching a binary search tree.,TECHNICAL,DS,Core
What is a dequeue?,TECHNICAL,DS,Core
What are the parts of a linked list?,TECHNICAL,DS,Core
How does selection sort work?,TECHNICAL,DS,Core
What is a graph?,TECHNICAL,DS,Core
Differentiate linear from a nonlinear data structure.,TECHNICAL,DS,Core
What are doubly linked lists?,TECHNICAL,DS,Core
What is Huffman’s algorithm?,TECHNICAL,DS,Core
How do you search for a target key in a linked list?,TECHNICAL,DS,Core
What is Linux?,TECHNICAL,LINUX,Core
What is the difference between UNIX and LINUX?,TECHNICAL,LINUX,Core
What is BASH?,TECHNICAL,LINUX,Core
 What is Linux Kernel?,TECHNICAL,LINUX,Core
What is LILO? (in linux (its a bootloader)) ,TECHNICAL,LINUX,Core
What is the advantage of open source?,TECHNICAL,LINUX,Core
What are the basic components of Linux?,TECHNICAL,LINUX,Core
Does it help for a Linux system to have multiple desktop environments installed?,TECHNICAL,LINUX,Core
What is the basic difference between BASH and DOS?,TECHNICAL,LINUX,Core
Describe the root account.,TECHNICAL,LINUX,Core
What is CLI?,TECHNICAL,LINUX,Core
How do you change permissions under Linux?,TECHNICAL,LINUX,Core
What is the maximum length for a filename under Linux?,TECHNICAL,LINUX,Core
What are daemons?,TECHNICAL,LINUX,Core
What are the kinds of permissions under Linux?,TECHNICAL,LINUX,Core
What is grep command?,TECHNICAL,LINUX,Core
What is the difference between Linux and Unix?,TECHNICAL,LINUX,Core
What is Linux Kernel? Is it legal to edit Linux Kernel?,TECHNICAL,LINUX,Core
What is LILO?,TECHNICAL,LINUX,Core
Which are the Shells used in Linux?,TECHNICAL,LINUX,Core
What is Swap Space?,TECHNICAL,LINUX,Core
What is the difference between BASH and DOS?,TECHNICAL,LINUX,Core
What command would you use to check how much memory is being used by Linux?,TECHNICAL,LINUX,Core
Explain file permission in Linux.,TECHNICAL,LINUX,Core
What are inode and process id?,TECHNICAL,LINUX,Core
Which are the Linux Directory Commands?,TECHNICAL,LINUX,Core
What is Virtual Desktop?,TECHNICAL,LINUX,Core
Which are the different modes of vi editor?,TECHNICAL,LINUX,Core
What are the process states in Linux?,TECHNICAL,LINUX,Core
Explain grep command.,TECHNICAL,LINUX,Core
Explain Process Management System Calls in Linux,TECHNICAL,LINUX,Core
Explain the ‘ls’ command in Linux,TECHNICAL,LINUX,Core
Why is the tar command used?,TECHNICAL,LINUX,Core
What is a Latch?,TECHNICAL,LINUX,Core
What is a Microprocessor?,TECHNICAL,LINUX,Core
Explain Regular Expressions and Grep,TECHNICAL,LINUX,Core
What is the minimum number of disk partitions required to install Linux?,TECHNICAL,LINUX,Core
How to copy a file in Linux?,TECHNICAL,LINUX,Core
How to terminate a running process in Linux?,TECHNICAL,LINUX,Core
How to rename a file in Linux?,TECHNICAL,LINUX,Core
How to write the output of a command to a file?,TECHNICAL,LINUX,Core
How to see the list of mounted devices on Linux?,TECHNICAL,LINUX,Core
How to find where a file is stored in Linux?,TECHNICAL,LINUX,Core
How to find the difference in two configuration files?,TECHNICAL,LINUX,Core
Write a bash script to delete all the files in the current directory that contains the word “linux”.,TECHNICAL,LINUX,Core
How would you create a text file without opening it?,TECHNICAL,LINUX,Core
How would you delete a directory in Linux?,TECHNICAL,LINUX,Core
How would you schedule a task in Linux?,TECHNICAL,LINUX,Core
Suppose you try to delete a file using the rm command and the deletion fails,TECHNICAL,LINUX,Core
How do you look at the contents of a file named sample.z?,TECHNICAL,LINUX,Core
How to copy files to a Floppy Disk safely?,TECHNICAL,LINUX,Core
How to identify which shell you are using?,TECHNICAL,LINUX,Core
How can you login to another system in your network from your system?,TECHNICAL,LINUX,Core
How would you open a file in read-only mode using the vim editor?,TECHNICAL,LINUX,Core
How would you search for a specific Employee ID in a file using the vim editor?,TECHNICAL,LINUX,Core
How to jump to a particular line in a file using vim editor?,TECHNICAL,LINUX,Core
How do you sort the entries in a text file in ascending order?,TECHNICAL,LINUX,Core
What is the export command used for?,TECHNICAL,LINUX,Core
How do you check if a particular service in running?,TECHNICAL,LINUX,Core
How do you check the status of all the services?,TECHNICAL,LINUX,Core
