Question,Question Type,Sub Category,Category
Who is the angriest person you know? ,NON_TECHNICAL,ANGER,Emotion
Should anger be a sin? ,NON_TECHNICAL,ANGER,Emotion
Why do we get angriest with the ones we love? ,NON_TECHNICAL,ANGER,Emotion
Who on Earth angers you most? ,NON_TECHNICAL,ANGER,Emotion
What happens when you bottle up your anger? ,NON_TECHNICAL,ANGER,Emotion
Is it easy for you to control and hide your   anger? ,NON_TECHNICAL,ANGER,Emotion
Elizabeth   Kenny said: “He who angers you conquers you.” What do you think she means by   this? Do you agree? ,NON_TECHNICAL,ANGER,Emotion
A Chinese   Proverb said: “Never write a letter while you are angry.” Do you think this   is good advice?   Have you regretted writing an angry letter? ,NON_TECHNICAL,ANGER,Emotion
What springs to mind when you hear the word ‘pet’?,NON_TECHNICAL,PET,People
Do you like pets?,NON_TECHNICAL,PET,People
How many pets have you had?,NON_TECHNICAL,PET,People
Is it important for children to have a pet?,NON_TECHNICAL,PET,People
Why do people have pets?,NON_TECHNICAL,PET,People
Do you think it’s unfair to keep animals in the home  shouldn’t they be in their natural habitat?,NON_TECHNICAL,PET,People
Do you know anyone with an unusual pet?,NON_TECHNICAL,PET,People
Is it wrong to spend money on pets and pet food when so many people are starving?,NON_TECHNICAL,PET,People
Do you like visiting pet shops?,NON_TECHNICAL,PET,People
What animal do you think makes the best pet?,NON_TECHNICAL,PET,People
Do pets make good gifts?,NON_TECHNICAL,PET,People
Do people usually choose good names for their pets in your country?,NON_TECHNICAL,PET,People
What do you think of restaurants and stores aimed at pets?,NON_TECHNICAL,PET,People
What problems do pets create for people?,NON_TECHNICAL,PET,People
Is a spider or a snake really a pet?,NON_TECHNICAL,PET,People
Why do some people prefer pets to children?,NON_TECHNICAL,PET,People
What do you think of people who dispose of their pets because they are too much trouble?,NON_TECHNICAL,PET,People
Do you think pet owners are often similar to their pets?,NON_TECHNICAL,PET,People
What do you think of the idea of virtual pets like Tamagotchi?,NON_TECHNICAL,PET,People
Are pets good value for money?,NON_TECHNICAL,PET,People
who is your best friend?,NON_TECHNICAL,friend,People
what do you admire about your friend,NON_TECHNICAL,friend,People
what do you hate about your friend,NON_TECHNICAL,friend,People
have you ever cheated on your friend,NON_TECHNICAL,friend,People
what is the craziest thing you have done with your friend,NON_TECHNICAL,friend,People
college friends or school friends which one do you think are best?,NON_TECHNICAL,friend,People
Do you prefer to have many friends or just a few that you are close to?,NON_TECHNICAL,friend,People
What are the benefits of having just a few close friends? How about the benefits of having many friends?,NON_TECHNICAL,friend,People
Describe your best friend.,NON_TECHNICAL,friend,People
Are you close friends with anyone who you knew in elementary school?,NON_TECHNICAL,friend,People
Why do people need friends? What can happen if a person has no friends?,NON_TECHNICAL,friend,People
What is the biggest thing you have done to help a friend?,NON_TECHNICAL,friend,People
Do you have any friends who would risk their life to save you?,NON_TECHNICAL,friend,People
Would you risk your life to save a friend? How about a stranger?,NON_TECHNICAL,friend,People
What kind of qualities do you look for in a friend?,NON_TECHNICAL,friend,People
What is the best way to make new friends? Do you like making new friends?,NON_TECHNICAL,friend,People
Do you think sites like Facebook are good for friendships or do they stop people from becoming close?,NON_TECHNICAL,friend,People
How did you meet your best friend?,NON_TECHNICAL,friend,People
Have you made some friends over the internet?,NON_TECHNICAL,friend,People
There are agencies on the internet which claim to be able to put you in touch with other people with similar interests.  What do you think of such agencies?,NON_TECHNICAL,friend,People
Have you ever used the internet to try to contact a long-lost friend?,NON_TECHNICAL,friend,People
Have you ever met in real life somebody you first met on the internet?,NON_TECHNICAL,friend,People
Have you ever been 'unfriended' by someone or have you ever 'unfriended' someone?,NON_TECHNICAL,friend,People
Do you have many friendships which have lasted since childhood?,NON_TECHNICAL,friend,People
Do we need to work to maintain friendships?,NON_TECHNICAL,friend,People
Has the concept of "friendship" changed in the modern age?,NON_TECHNICAL,friend,People
Why do people stop being friends?,NON_TECHNICAL,friend,People
Do you have any friends you don't really like?,NON_TECHNICAL,friend,People
Do you relate differently to your male and female friends?,NON_TECHNICAL,friend,People
Which is more important to you - your friends or your family?,NON_TECHNICAL,friend,People
There is an old English saying "A friend in need is a friend indeed."  What do you think this means?,NON_TECHNICAL,friend,People
Are you friends with people because of or in spite of what they do?,NON_TECHNICAL,friend,People
What is the best way to meet new friends?,NON_TECHNICAL,friend,People
What's the best place to meet new friends?,NON_TECHNICAL,friend,People
What do you think of the idea of buying (or renting!) a puppy and walking around town with it?,NON_TECHNICAL,friend,People
Do you think that it's easier to make friends at one time of life than at another?,NON_TECHNICAL,friend,People
Do you think that rich people make more friends?,NON_TECHNICAL,friend,People
Do you think that most people are naturally able to get along with others or is it a skill which needs to be learnt?,NON_TECHNICAL,friend,People
It is sometimes claimed that a true friend is someone who who can call you at 3 am to ask you to help start their car.  Do you agree?,NON_TECHNICAL,friend,People
Tell me about your teachers,NON_TECHNICAL,TEACHER,People
What Role teachers have played in your life?,NON_TECHNICAL,TEACHER,People
Give me a scenario when you have taught someone,NON_TECHNICAL,TEACHER,People
Why not teaching as a career option,NON_TECHNICAL,TEACHER,People
Do you always require a teacher with you? or you can self learn,NON_TECHNICAL,TEACHER,People
What did you learn from your teachers?,NON_TECHNICAL,TEACHER,People
Can you think of a good teacher you had? ,NON_TECHNICAL,TEACHER,People
What made that teacher good?,NON_TECHNICAL,TEACHER,People
Think of a bad teacher you had. ,NON_TECHNICAL,TEACHER,People
What made that teacher bad?,NON_TECHNICAL,TEACHER,People
What do you think it takes to be a good teacher?,NON_TECHNICAL,TEACHER,People
What are some traits of teachers?,NON_TECHNICAL,TEACHER,People
What different kind of teachers can you name?,NON_TECHNICAL,TEACHER,People
How are you a teacher to someone else?,NON_TECHNICAL,TEACHER,People
What is the retirement age for teachers in your country?,NON_TECHNICAL,TEACHER,People
Would you rather learn from a young teacher or an older teacher?,NON_TECHNICAL,TEACHER,People
What are the salaries for teachers in your country?,NON_TECHNICAL,TEACHER,People
Do you enjoy spending time with your teachers?,NON_TECHNICAL,TEACHER,People
If you were going to be a teacher where would you like to teach?,NON_TECHNICAL,TEACHER,People
Young people spend a lot of their "formative years" with teachers. On the whole is this time well-spent?,NON_TECHNICAL,TEACHER,People
What kind of formal training do teachers need in your country?,NON_TECHNICAL,TEACHER,People
Do you think the training is sufficient?,NON_TECHNICAL,TEACHER,People
If you could how would you change this training,NON_TECHNICAL,TEACHER,People
What images spring to mind   when you hear the word ‘mother’?,NON_TECHNICAL,MOTHER,People
Can you describe your   mother in one word? Why that word?,NON_TECHNICAL,MOTHER,People
Have you ever thought that   mothers might have ESP?,NON_TECHNICAL,MOTHER,People
Do you always buy your   mother a present on Mother’s Day?,NON_TECHNICAL,MOTHER,People
What are the differences   between a mother and a mother-in-law?,NON_TECHNICAL,MOTHER,People
In what ways do you take   after your mother?,NON_TECHNICAL,MOTHER,People
What is your mother’s   biggest fault?,NON_TECHNICAL,MOTHER,People
Is your mother more like a   mother or a best friend?,NON_TECHNICAL,MOTHER,People
What do/did your mother   and you argue about?,NON_TECHNICAL,MOTHER,People
What do you think of   Mother’s Day? Is it necessary?,NON_TECHNICAL,MOTHER,People
What are the biggest   differences between mothers and fathers?,NON_TECHNICAL,MOTHER,People
Why and how did your   father fall in love with your mother?,NON_TECHNICAL,MOTHER,People
Are you happy with the way   your mother raised you?,NON_TECHNICAL,MOTHER,People
Should mothers stay at   home and look after the kids?,NON_TECHNICAL,MOTHER,People
What’s the best piece of   advice your mother has given you?,NON_TECHNICAL,MOTHER,People
Do you think mothers are   the same all around the world?,NON_TECHNICAL,MOTHER,People
How are mothers and   grandmothers different?,NON_TECHNICAL,MOTHER,People
What do you think is the hardest   thing about being a mother?,NON_TECHNICAL,MOTHER,People
What’s the biggest lie   you’ve ever told your mother?,NON_TECHNICAL,MOTHER,People
What do you talk to your   mother about on the phone?,NON_TECHNICAL,MOTHER,People
Tell me more about your father,NON_TECHNICAL,FATHER,People
Tell me more about your father's profession,NON_TECHNICAL,FATHER,People
What would you like to full fill  your dream or your fathers dream?,NON_TECHNICAL,FATHER,People
What did you have as a child that kids today don’t have?,NON_TECHNICAL,FATHER,People
Which family member has been your greatest coach in life? How have they coached you? What has made them good at it?,NON_TECHNICAL,FATHER,People
When you were a teenager which family member did you go to for advice? Looking back was it good advice?,NON_TECHNICAL,FATHER,People
Tell me a story about a family reunion or family party that you remember attending as a child.,NON_TECHNICAL,FATHER,People
 What is the most embarrassing thing your mother or father ever did to you?,NON_TECHNICAL,FATHER,People
What are your best memories of holidays or family gatherings as a child?,NON_TECHNICAL,FATHER,People
Describe your father is 3 words,NON_TECHNICAL,FATHER,People
 If you could go back to one day in your childhood which day would that be? Why?,NON_TECHNICAL,FATHER,People
Tell me more about your family,NON_TECHNICAL,FAMILY,People
Tell me more about your parents,NON_TECHNICAL,FAMILY,People
Tell me about your siblings,NON_TECHNICAL,FAMILY,People
Why family is important for you?,NON_TECHNICAL,FAMILY,People
What comes to mind when   you hear the word ‘family’?,NON_TECHNICAL,FAMILY,People
How important is your   family to you?,NON_TECHNICAL,FAMILY,People
How important are you to   your family?,NON_TECHNICAL,FAMILY,People
Would you like / Do you   have your own family?,NON_TECHNICAL,FAMILY,People
Do you prefer spending   time with your family or friends?,NON_TECHNICAL,FAMILY,People
Are there any strange   people in your family?,NON_TECHNICAL,FAMILY,People
Are you jealous of any of   your family members?,NON_TECHNICAL,FAMILY,People
Do you get on well with   all of your family members?,NON_TECHNICAL,FAMILY,People
How often do you have big   family get-togethers?,NON_TECHNICAL,FAMILY,People
How much of a family   person are you?,NON_TECHNICAL,FAMILY,People
Do you have the ideal   family?,NON_TECHNICAL,FAMILY,People
Is there a black sheep in   your family?,NON_TECHNICAL,FAMILY,People
Is “blood thicker than   water” regarding your family?,NON_TECHNICAL,FAMILY,People
Do you prefer the idea of   extended or nuclear families?,NON_TECHNICAL,FAMILY,People
There is much talk   recently of increased social problems due to family breakdown. Is this true   in your country?,NON_TECHNICAL,FAMILY,People
When do you need your   family most?,NON_TECHNICAL,FAMILY,People
What would the world be   like without families?,NON_TECHNICAL,FAMILY,People
Are we all in one big   happy family?,NON_TECHNICAL,FAMILY,People
Do you ever get tired of   family duties?,NON_TECHNICAL,FAMILY,People
How far back do you know   your family tree?,NON_TECHNICAL,FAMILY,People
college friends or school friends,NON_TECHNICAL,friend,aiml
Tell me more about your hobby,NON_TECHNICAL,HOBBY,PASS-TIME
Do you have any other hobbies?,NON_TECHNICAL,HOBBY,PASS-TIME
How long have you had a hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
Why do people have hobbies?,NON_TECHNICAL,HOBBY,PASS-TIME
Why did you start your hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
Can you make money from doing your hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
How many hours a week do you spend on your hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
Is your hobby safe or dangerous?,NON_TECHNICAL,HOBBY,PASS-TIME
What is a hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
Why do people need hobbies?,NON_TECHNICAL,HOBBY,PASS-TIME
What can one do as a hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
How much time can one spend on his/her hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
What is your hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
Does your hobby interfere with your work/study/personal life?,NON_TECHNICAL,HOBBY,PASS-TIME
Do you spend money on your hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
Does your hobby influence your choice of friends?,NON_TECHNICAL,HOBBY,PASS-TIME
Can a hobby save a child from bad peer influence?,NON_TECHNICAL,HOBBY,PASS-TIME
Can a hobby be dangerous?,NON_TECHNICAL,HOBBY,PASS-TIME
Have you got a hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
How long have you had your hobby?,NON_TECHNICAL,HOBBY,PASS-TIME
Which hobbies are the most expensive?,NON_TECHNICAL,HOBBY,PASS-TIME
Which hobbies are the cheapest?,NON_TECHNICAL,HOBBY,PASS-TIME
Which hobbies cost nothing at all?,NON_TECHNICAL,HOBBY,PASS-TIME
Which hobbies are the most popular in your country?,NON_TECHNICAL,HOBBY,PASS-TIME
Is hunting a hobby or a sport in your country?,NON_TECHNICAL,HOBBY,PASS-TIME
Which hobbies are the most popular with women in your country? With men?,NON_TECHNICAL,HOBBY,PASS-TIME
Did you have any hobbies when you were a child?,NON_TECHNICAL,HOBBY,PASS-TIME
Can you think of any hobbies which are popular with children and adults?,NON_TECHNICAL,HOBBY,PASS-TIME
Do you think a hobby is different from a sport?,NON_TECHNICAL,HOBBY,PASS-TIME
Are there any hobbies you would like to try?,NON_TECHNICAL,HOBBY,PASS-TIME
Are there any dangerous hobbies?,NON_TECHNICAL,HOBBY,PASS-TIME
Are there any hobbies you can do in other countries but not your own?,NON_TECHNICAL,HOBBY,PASS-TIME
Which hobbies do you think are the most difficult?,NON_TECHNICAL,HOBBY,PASS-TIME
Do you like dancing?,NON_TECHNICAL,DANCE,PASS-TIME
How important is dancing   in your culture?,NON_TECHNICAL,DANCE,PASS-TIME
How often do you dance?,NON_TECHNICAL,DANCE,PASS-TIME
What kinds of dancing can   we see in your country?,NON_TECHNICAL,DANCE,PASS-TIME
Do you like dancing in   discos?,NON_TECHNICAL,DANCE,PASS-TIME
Do you have any early   memories of dancing?,NON_TECHNICAL,DANCE,PASS-TIME
Why do people like to   dance?,NON_TECHNICAL,DANCE,PASS-TIME
Do you ever go to see   dance performances?,NON_TECHNICAL,DANCE,PASS-TIME
What dances from other   countries do you like?,NON_TECHNICAL,DANCE,PASS-TIME
Are you good at dancing?,NON_TECHNICAL,DANCE,PASS-TIME
Is there a national dance   in your country?,NON_TECHNICAL,DANCE,PASS-TIME
Are there any famous   dancing groups in your country?,NON_TECHNICAL,DANCE,PASS-TIME
Do you think being a   professional dancer would be a good job?,NON_TECHNICAL,DANCE,PASS-TIME
Do you like movies about   dancing?,NON_TECHNICAL,DANCE,PASS-TIME
What kind of music do you   think is good to dance to?,NON_TECHNICAL,DANCE,PASS-TIME
Do you prefer dancing   alone or with other people?,NON_TECHNICAL,DANCE,PASS-TIME
What do you think of   ballet?,NON_TECHNICAL,DANCE,PASS-TIME
Do you ever dance in the   streets at festivals?,NON_TECHNICAL,DANCE,PASS-TIME
Have you seen or taken   part in dances that tell a story?,NON_TECHNICAL,DANCE,PASS-TIME
What is the difference   between a good dancer and a bad dancer?,NON_TECHNICAL,DANCE,PASS-TIME
What is the best thing to do to stay healthy?,NON_TECHNICAL,HEALTH,HOBBY
What do you think the worst disease to have would be?,NON_TECHNICAL,HEALTH,HOBBY
Do you consider yourself to be healthy? Why?,NON_TECHNICAL,HEALTH,HOBBY
How often do you exercise?,NON_TECHNICAL,HEALTH,HOBBY
What is your diet like? Do you eat mostly fruits and vegetables?,NON_TECHNICAL,HEALTH,HOBBY
What do you think about the health care system in your country? How could it be improved?,NON_TECHNICAL,HEALTH,HOBBY
People are living longer and longer thanks to medicine. How long would you like to live? How about forever?,NON_TECHNICAL,HEALTH,HOBBY
Are there any diseases like small pox that you think humans could totally get rid of if we tried?,NON_TECHNICAL,HEALTH,HOBBY
Where do you think the future of medicine will be? Genetics? Cybernetics? Chemistry?,NON_TECHNICAL,HEALTH,HOBBY
Would you like to get your genome sequenced?,NON_TECHNICAL,HEALTH,HOBBY
If you could find out that you were at risk to get a certain disease would you want to know?,NON_TECHNICAL,HEALTH,HOBBY
What do you do to relax after working hard or experiencing other challenging or stressful situations?,NON_TECHNICAL,HEALTH,HOBBY
Do you think life is more stressful today than fifty years ago? ,NON_TECHNICAL,HEALTH,HOBBY
Have you ever practiced yoga? ,NON_TECHNICAL,HEALTH,HOBBY
Have you ever done meditation? ,NON_TECHNICAL,HEALTH,HOBBY
Can you give some examples of how mind and body are connected from your own experience.,NON_TECHNICAL,HEALTH,HOBBY
Do you have a kind of red warning flag that indicates too much stress?,NON_TECHNICAL,HEALTH,HOBBY
When you are stressful how do you feel physically? ,NON_TECHNICAL,HEALTH,HOBBY
Do you play games sports or do other activities that can be stressful?,NON_TECHNICAL,HEALTH,HOBBY
Is stress good before an exam? ,NON_TECHNICAL,HEALTH,HOBBY
In what situations can stress be a good thing? Does stress ever make you feel more alive?,NON_TECHNICAL,HEALTH,HOBBY
If you are playing a sport and your team is losing does it give you extra energy?,NON_TECHNICAL,HEALTH,HOBBY
Do you feel tense when you meet someone for the first time?,NON_TECHNICAL,HEALTH,HOBBY
Do you get nervous if you have to make a speech?,NON_TECHNICAL,HEALTH,HOBBY
Do you suffer from stress when you have too much work to do?,NON_TECHNICAL,HEALTH,HOBBY
Do you work or study for long hours under stressful conditions?,NON_TECHNICAL,HEALTH,HOBBY
Does the place you live have a low-stress environment?,NON_TECHNICAL,HEALTH,HOBBY
Can you be alone as much as you like?,NON_TECHNICAL,HEALTH,HOBBY
Can you be with friends as often as you like?,NON_TECHNICAL,HEALTH,HOBBY
Is it easy for you to make decisions about important things?,NON_TECHNICAL,HEALTH,HOBBY
Can you relax when you are sleeping away from home?,NON_TECHNICAL,HEALTH,HOBBY
In what kinds of situations do you observe other people feeling stressed?,NON_TECHNICAL,HEALTH,HOBBY
What are some situations that you enjoy?,NON_TECHNICAL,HEALTH,HOBBY
What are some situations that make you feel stressful?,NON_TECHNICAL,HEALTH,HOBBY
How can you eliminate stressful situations?,NON_TECHNICAL,HEALTH,HOBBY
Can you plan a low-stress cheap one-day holiday?,NON_TECHNICAL,HEALTH,HOBBY
How do you relieve stress?,NON_TECHNICAL,HEALTH,HOBBY
Do you always eat healthy food? ,NON_TECHNICAL,HEALTH,HOBBY
Is your diet healthy?,NON_TECHNICAL,HEALTH,HOBBY
Do you eat a lot of vegetables?,NON_TECHNICAL,HEALTH,HOBBY
Do you eat lots of fruit?,NON_TECHNICAL,HEALTH,HOBBY
Do you eat vegetables every day?,NON_TECHNICAL,HEALTH,HOBBY
Do you ever get headaches? ,NON_TECHNICAL,HEALTH,HOBBY
Do you know anyone who suffers from migraine headaches?,NON_TECHNICAL,HEALTH,HOBBY
Do you ever read magazines or news articles about health? ,NON_TECHNICAL,HEALTH,HOBBY
Do you exercise? ,NON_TECHNICAL,HEALTH,HOBBY
What kind of exercise do you do? How often do you exercise?,NON_TECHNICAL,HEALTH,HOBBY
Do you go for regular medical check-ups?,NON_TECHNICAL,HEALTH,HOBBY
Do you go to the dentist's twice a year?,NON_TECHNICAL,HEALTH,HOBBY
Do you have a lot of stress?,NON_TECHNICAL,HEALTH,HOBBY
Do you normally go one doctor in particular or any available doctor?,NON_TECHNICAL,HEALTH,HOBBY
Do you have any allergies?,NON_TECHNICAL,HEALTH,HOBBY
Do you have any scars?,NON_TECHNICAL,HEALTH,HOBBY
Do you know anyone who suffers from backaches?,NON_TECHNICAL,HEALTH,HOBBY
Do you know anyone with false teeth?,NON_TECHNICAL,HEALTH,HOBBY
Do you often eat fast food?,NON_TECHNICAL,HEALTH,HOBBY
What drinks to you think are healthy? ,NON_TECHNICAL,HEALTH,HOBBY
What drinks do you think are unhealthy? ,NON_TECHNICAL,HEALTH,HOBBY
What foods to you think are healthy? ,NON_TECHNICAL,HEALTH,HOBBY
What foods do you think are unhealthy? ,NON_TECHNICAL,HEALTH,HOBBY
When was the last time you went to a dentist?,NON_TECHNICAL,HEALTH,HOBBY
When was the last time you went to a doctor?,NON_TECHNICAL,HEALTH,HOBBY
When was the last time you went to a hospital?,NON_TECHNICAL,HEALTH,HOBBY
When was the last time you were sick?,NON_TECHNICAL,HEALTH,HOBBY
Which kind of medicine do you prefer to take when you are sick?,NON_TECHNICAL,HEALTH,HOBBY
What springs to mind when you hear the word   ‘exercise’?,NON_TECHNICAL,HEALTH,HOBBY
Why is exercise so important?,NON_TECHNICAL,HEALTH,HOBBY
What kind of exercise do you think is best?,NON_TECHNICAL,HEALTH,HOBBY
Do you wish you could exercise more?,NON_TECHNICAL,HEALTH,HOBBY
Why do many people not exercise?,NON_TECHNICAL,HEALTH,HOBBY
Do you think it’s easy or difficult to find time   to exercise during the day?,NON_TECHNICAL,HEALTH,HOBBY
Do you think people who exercise are happier than   those who don’t?,NON_TECHNICAL,HEALTH,HOBBY
Do you think there should be a law that requires   everyone to exercise?,NON_TECHNICAL,HEALTH,HOBBY
Is it more fun to exercise alone or with other   people?,NON_TECHNICAL,HEALTH,HOBBY
Do   you need advice about how to exercise?,NON_TECHNICAL,HEALTH,HOBBY
Do you like exercise?,NON_TECHNICAL,HEALTH,HOBBY
Who do you know who exercises a lot?,NON_TECHNICAL,HEALTH,HOBBY
What are the bad things about exercise?,NON_TECHNICAL,HEALTH,HOBBY
Which exercise would you prefer jogging   swimming or cycling?,NON_TECHNICAL,HEALTH,HOBBY
Is not exercising a crime against your body?,NON_TECHNICAL,HEALTH,HOBBY
Do you think the government should do more to   ensure everyone exercises?,NON_TECHNICAL,HEALTH,HOBBY
How can you adapt the everyday things you do to   increase your level of exercise?,NON_TECHNICAL,HEALTH,HOBBY
Do you think exercising makes your brain work   better?,NON_TECHNICAL,HEALTH,HOBBY
What do you think of the idea of having higher   hospital charges for those who don’t exercise?,NON_TECHNICAL,HEALTH,HOBBY
If   exercise makes you live a lot longer why do so many people not bother to do   it?,NON_TECHNICAL,HEALTH,HOBBY
Have you ever been abroad?,NON_TECHNICAL,TRAVELLING,HOBBY
Where have you been?,NON_TECHNICAL,TRAVELLING,HOBBY
Are you planning on going anywhere for your next vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
How long will you stay?,NON_TECHNICAL,TRAVELLING,HOBBY
Are you afraid of going abroad alone?,NON_TECHNICAL,TRAVELLING,HOBBY
Could you live in another country for the rest of your life?,NON_TECHNICAL,TRAVELLING,HOBBY
Describe the most interesting person you met on one of your travels.,NON_TECHNICAL,TRAVELLING,HOBBY
What was your best trip.,NON_TECHNICAL,TRAVELLING,HOBBY
What was your worst trip.,NON_TECHNICAL,TRAVELLING,HOBBY
Did your class in high school go on a trip together?,NON_TECHNICAL,TRAVELLING,HOBBY
If so where did you go?,NON_TECHNICAL,TRAVELLING,HOBBY
How long did you stay?,NON_TECHNICAL,TRAVELLING,HOBBY
How did you get there?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you have a driver's license?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you like to travel with children? Why or why not?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you like to travel with your mother? Why or why not?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer summer vacations or winter vacations?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer to travel alone or in a group? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer to travel by train bus plane or ship?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer traveling by car or by plane?,NON_TECHNICAL,TRAVELLING,HOBBY
Have you ever been in a difficult situation while traveling?,NON_TECHNICAL,TRAVELLING,HOBBY
Have you ever been on an airplane?,NON_TECHNICAL,TRAVELLING,HOBBY
How many times?,NON_TECHNICAL,TRAVELLING,HOBBY
